Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
'57 Chevy with a White License Plate,14029,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Хайбол,Creme de Cacao,Vodka,0,0,0,1. Заполните стекло камня ICE 2. Добавьте белый крем де какао и водку 3.stir,1 унция white ,1 унция 
1-900-FUK-MEUP,15395,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Олд-фэшн,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,"Встряхните ингредиенты в смесительстве, наполненной кубиками льда. Процедить в камень.",1/2 унция ,1/4 унция 
110 in the shade,15423,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,Tequila,0,0,0,Стрелка в стекле. Наполнить пивом,16 унция ,1.5 унция 
151 Florida Bushwacker,14588,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Объедините все ингредиенты. Смешайте до гладкого. При желании украсить шоколадной стружкой.,1/2 унция ,1/2 унция 
155 Belmont,15346,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Бокал для белого вина,Dark rum,Light rum,Vodka,Orange juice,0,Смешайте со льдом. Подавать в бокале вина. Украсить морковью.,1 шот ,2 shots 
24k nightmare,17060,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Шот,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,0,"Добавьте лед, встряхните и вылейте.",1/2 унция ,1/2 унция 
252,15288,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Шот,151 proof rum,Wild Turkey,0,0,0,"Добавьте оба ингредиента, чтобы выстрелить из стекла, стрелять и напиться быстро",1/2 шот Bacardi ,1/2 шот 
3 Wise Men,13899,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Коллинз,Jack Daniels,Johnnie Walker,Jim Beam,0,0,Поместите их в стакан ... и хлопните в голову.,1/3 унция ,1/3 унция 
3-Mile Long Island Iced Tea,15300,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,Light rum,Tequila,Triple sec,Vodka,Заполните стакан 14 унций льдом и спиртом. Заполните 2/3 стекла колой и оставшимся в оставшемся сладким и кислым. Верх с чертой биттеров и лимонного клина.,1/2 унция ,1/2 унция 
410 Gone,13581,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,Coca-Cola,0,0,0,0,2-3 унция,0
50/50,14598,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,Vanilla vodka,Grand Marnier,Orange juice,0,0,Заполните стекло измельченным льдом. Добавить водку. Добавьте всплеск Grand-Marnier. Заполнить O.J.,2 1/2 унция ,1 сплэш 
501 Blue,17105,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,Смешайте равные количества в стакан со льдом.,"
","
"
69 Special,13940,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,Gin,7-Up,Lemon juice,0,0,"Залить 2 унции. Джин. Добавить 4 унции. 7-up. Добавить лимонный сок для вкуса. Если вы слабы, наполните стекло с большим количеством 7-Up.",2 унция dry ,4 унция 
747,14229,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Шот,Kahlua,Bailey's irish cream,Frangelico,0,0,"Залить калуху, затем Бейлис, затем Франджелико не охлажденный и не слоистый - подавать !!!",1/3 часть ,1/3 часть 
